CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Maize,126,14.79,31.36,72.71,1
Potato,113,17.05,7.18,78.93,1
Sugarcane,61,37.43,29.16,72.85,1
Wheat,146,24.13,16.49,50.33,1
Potato,118,42.66,21.83,69.59,0
Potato,117,33.58,19.21,53.95,1
Maize,28,16.61,26.71,83.76,1
Cotton,141,87.43,33.71,74.77,0
Potato,109,24.01,27.0,63.03,1
Wheat,11,60.5,21.7,59.14,0
Sugarcane,98,13.13,31.09,65.16,1
Sugarcane,102,87.62,37.98,76.01,0
Rice,145,30.49,26.72,72.21,1
Cotton,113,74.34,29.99,55.74,0
Rice,123,36.16,27.18,105.39,1
Sugarcane,85,64.35,31.02,70.5,0
Maize,30,57.16,26.26,60.46,0
Wheat,79,43.71,24.91,63.31,0
Cotton,138,88.76,21.48,59.44,0
Maize,6,51.87,30.61,50.59,0
Rice,111,20.95,31.83,70.6,1
Wheat,96,50.29,15.07,65.04,0
Rice,21,24.36,25.92,74.41,1
Wheat,133,49.17,17.23,48.02,0
Sugarcane,73,17.84,39.82,68.03,1
Rice,63,42.07,30.91,72.25,1
Potato,14,62.55,16.87,45.58,0
Potato,56,21.31,24.33,72.21,1
Cotton,18,48.03,21.97,62.03,0
Sugarcane,28,11.71,24.69,63.46,1
Cotton,25,85.69,38.44,68.82,0
Sugarcane,146,17.39,41.87,80.15,1
Wheat,83,42.2,23.56,57.11,0
Rice,59,93.85,23.01,85.63,0
Potato,70,30.91,18.09,63.37,1
Wheat,131,54.58,21.35,59.5,0
Maize,75,83.57,22.12,72.55,0
Rice,62,89.0,40.22,96.2,0
Cotton,133,25.9,26.18,41.95,0
Wheat,140,19.76,12.38,67.98,1
Rice,100,37.25,21.35,92.42,1
Sugarcane,138,94.15,35.03,64.23,0
Sugarcane,73,74.62,26.38,94.34,0
Potato,95,89.01,21.86,61.46,0
Cotton,35,88.75,32.9,64.97,0
Cotton,30,80.14,27.13,53.19,0
Potato,132,36.88,28.55,75.75,0
Potato,32,49.33,25.26,59.06,1
Wheat,145,86.46,24.15,37.89,0
Rice,39,19.94,30.83,85.69,1
Cotton,15,84.68,38.53,59.68,0
Sugarcane,38,73.95,34.85,77.21,0
Cotton,86,70.7,38.21,59.61,0
Sugarcane,47,81.95,28.65,60.21,0
Sugarcane,47,44.76,36.65,89.99,0
Rice,69,80.28,29.44,83.26,0
Maize,46,62.27,23.66,60.6,0
Rice,100,88.09,36.02,86.72,0
Wheat,51,72.6,15.05,58.74,0
Potato,57,38.23,14.73,60.21,0
Wheat,53,38.49,14.94,43.45,0
Rice,38,39.44,36.35,71.82,1
Rice,108,87.58,32.36,64.7,0
Sugarcane,88,36.48,26.41,79.06,1
Maize,49,25.13,21.0,63.35,1
Wheat,71,60.61,20.07,59.76,0
Rice,62,27.44,42.85,68.93,1
Potato,115,48.53,6.75,78.42,0
Potato,63,18.75,17.16,65.28,1
Maize,110,54.76,31.11,43.26,0
Rice,72,18.85,27.38,84.89,1
Maize,35,30.67,28.55,69.44,1
Cotton,142,34.92,21.65,77.65,0
Sugarcane,148,38.55,27.71,80.89,1
Cotton,5,39.34,26.86,72.52,0
Rice,86,76.28,30.83,70.24,0
Wheat,114,11.91,21.54,42.9,1
Wheat,22,80.97,20.09,63.48,0
Sugarcane,75,79.92,36.73,71.27,0
Maize,17,44.45,34.05,64.79,0
Potato,27,86.5,21.28,77.33,0
Wheat,53,24.91,19.21,68.07,1
Maize,46,13.99,27.59,57.74,1
Cotton,115,30.85,22.38,52.02,0
Wheat,39,61.88,19.36,65.55,0
Potato,69,51.12,21.49,50.3,0
Cotton,81,52.19,21.55,69.87,0
Sugarcane,73,16.39,29.83,87.71,1
Maize,25,30.94,27.5,70.33,1
Potato,102,60.17,16.36,65.02,0
Sugarcane,17,90.77,23.4,67.74,0
Rice,8,64.31,34.02,89.3,0
Wheat,89,64.97,18.58,61.22,0
Maize,16,88.65,26.36,52.23,0
Potato,79,69.28,22.23,65.37,0
Sugarcane,82,73.33,29.67,63.36,0
Wheat,14,60.68,17.83,56.91,0
Sugarcane,108,58.66,30.88,83.89,0
Sugarcane,16,46.28,28.91,79.96,0
Maize,13,54.96,22.41,79.09,0
Wheat,16,84.26,11.59,42.41,0
Potato,3,49.72,23.93,62.98,0
Sugarcane,73,19.3,25.23,67.25,1
Sugarcane,61,32.01,31.37,70.5,1
Rice,62,62.14,35.84,96.21,0
Maize,107,25.0,21.88,59.45,1
Potato,5,14.92,18.13,55.76,1
Potato,145,23.08,17.24,73.83,1
Wheat,73,86.07,19.33,71.26,0
Rice,29,85.54,32.72,90.84,0
Rice,124,41.68,34.42,70.49,1
Potato,37,28.72,17.41,69.74,1
Sugarcane,62,60.35,27.55,80.44,0
Rice,33,84.68,32.95,91.09,0
Rice,48,70.21,32.51,88.57,0
Rice,7,84.94,29.79,85.56,0
Maize,138,79.7,26.15,63.48,0
Maize,77,53.13,25.96,65.46,0
Maize,88,79.59,23.05,58.3,0
Wheat,63,43.33,22.79,52.96,0
Cotton,96,75.52,33.76,69.77,0
Potato,120,13.89,21.84,62.24,1
Rice,33,37.51,37.83,79.34,1
Maize,29,90.27,31.49,66.08,0
Maize,84,65.63,23.89,53.53,0
Sugarcane,84,43.8,34.49,67.93,0
Sugarcane,64,83.79,32.51,87.21,0
Rice,72,23.54,29.21,68.13,1
Rice,93,21.16,36.25,84.91,1
Potato,17,61.62,21.83,51.7,0
Cotton,63,65.38,34.45,42.82,0
Sugarcane,72,49.49,25.31,86.19,0
Potato,32,65.84,21.29,72.19,0
Wheat,145,18.74,18.38,60.48,1
Cotton,148,39.41,30.31,52.2,0
Potato,77,16.68,14.99,64.69,1
Potato,122,78.05,17.53,63.05,0
Rice,61,70.05,30.3,73.53,0
Maize,92,78.15,30.25,59.65,0
Cotton,132,60.79,29.5,74.99,0
Cotton,106,47.28,33.25,75.67,0
Wheat,45,62.34,18.23,39.73,0
Sugarcane,119,46.86,32.53,50.03,0
Cotton,35,28.75,23.28,56.3,0
Wheat,94,91.67,25.66,57.25,0
Cotton,108,75.26,45.52,63.47,0
Wheat,117,43.62,27.55,76.41,0
Maize,115,34.13,18.61,49.51,1
Sugarcane,143,30.04,27.62,83.88,1
Maize,14,92.57,26.62,62.09,0
Potato,60,44.43,27.71,85.54,0
Potato,145,43.24,13.53,79.11,0
Cotton,45,30.15,32.17,57.0,0
Maize,93,38.65,23.7,77.34,0
Rice,1,31.46,23.52,64.87,1
Sugarcane,49,81.75,31.81,82.99,0
Cotton,148,32.93,30.24,53.12,0
Sugarcane,1,20.38,33.66,69.19,1
Wheat,12,22.61,24.58,63.46,1
Rice,38,21.87,25.31,86.44,1
Maize,85,17.98,21.88,84.14,1
Potato,34,66.24,19.74,69.47,0
Maize,145,80.62,26.87,70.07,0
Wheat,46,88.09,23.09,61.41,0
Sugarcane,105,19.06,35.03,67.48,1
Sugarcane,68,65.29,34.51,68.61,0
Rice,109,79.52,30.6,69.71,0
Wheat,76,61.84,9.9,70.71,0
Wheat,49,56.38,18.48,59.65,0
Potato,74,74.54,35.71,67.83,0
Maize,117,79.17,16.85,66.71,0
Rice,87,79.1,28.74,83.92,0
Cotton,21,50.73,27.67,55.73,0
Sugarcane,52,66.96,30.29,77.7,0
Maize,146,43.99,19.71,65.63,0
Sugarcane,71,35.1,27.17,75.28,1
Cotton,118,78.51,27.11,60.64,0
Rice,141,61.14,30.24,80.41,0
Wheat,15,61.93,25.75,56.99,0
Wheat,91,76.34,24.01,54.4,0
Maize,89,18.12,20.82,86.45,1
Wheat,108,83.34,19.07,58.7,0
Rice,11,29.72,37.3,63.15,1
Maize,64,21.6,20.98,81.39,1
Wheat,24,20.91,21.51,54.66,1
Sugarcane,36,17.28,24.5,62.89,1
Cotton,13,54.12,31.17,44.44,0
Maize,67,55.3,19.14,52.67,0
Cotton,2,40.85,29.94,61.13,0
Potato,44,17.55,20.55,71.28,1
Maize,121,79.85,24.9,68.84,0
Cotton,115,22.96,36.07,61.42,1
Potato,32,20.86,22.52,73.32,1
Potato,36,35.77,16.07,54.19,0
Rice,75,80.15,30.97,79.04,0
Potato,143,94.33,18.08,72.14,0
Maize,82,63.38,26.87,85.02,0
Rice,80,28.02,27.27,89.81,1
Rice,130,29.01,30.44,85.47,1
Maize,25,50.75,29.56,49.02,0
Potato,125,36.99,16.0,71.02,0
Cotton,25,29.77,31.21,50.3,0
Cotton,146,33.61,30.25,57.69,0
Rice,5,76.36,26.56,79.37,0
Sugarcane,56,35.28,23.85,67.4,1
Cotton,115,25.11,34.69,75.21,0
Wheat,101,62.29,24.75,45.15,0
Maize,63,77.33,33.57,54.41,1
Rice,92,50.94,27.97,68.38,1
Maize,62,50.91,22.27,68.92,0
Wheat,13,11.03,15.03,59.69,1
Sugarcane,52,32.61,28.05,75.54,1
Rice,42,76.73,26.65,90.4,0
Cotton,48,31.65,29.56,69.21,0
Maize,8,86.09,31.51,80.62,0
Sugarcane,69,72.68,40.07,71.37,0
Wheat,87,70.89,15.99,72.99,0
Rice,143,90.1,26.95,91.95,0
Sugarcane,94,80.6,29.37,62.83,0
Cotton,81,35.11,33.04,73.11,0
Maize,49,31.71,23.94,63.83,1
Potato,114,37.39,19.63,56.83,0
Sugarcane,95,54.27,24.63,73.64,0
Wheat,146,29.09,14.78,40.34,1
Wheat,114,90.16,17.58,56.69,0
Potato,113,64.89,24.3,61.67,0
Wheat,12,88.11,24.19,51.86,0
Potato,104,57.41,25.62,59.51,0
Cotton,29,71.88,31.61,53.18,0
Maize,95,51.51,22.88,55.6,0
Sugarcane,97,53.21,32.83,52.39,0
Cotton,111,84.56,24.03,57.67,0
Wheat,108,71.75,26.44,55.77,0
Maize,149,72.31,19.02,69.45,0
Sugarcane,137,57.11,22.75,58.94,0
Potato,56,52.67,18.56,58.08,0
Maize,24,28.46,26.97,56.25,1
Sugarcane,38,24.19,27.92,58.19,1
Cotton,14,71.49,28.9,56.83,0
Potato,24,67.5,16.88,75.78,0
Wheat,63,16.55,19.15,55.47,1
Potato,117,77.03,6.13,75.51,0
Wheat,146,41.57,23.87,68.82,0
Wheat,145,64.19,13.36,59.84,0
Potato,124,42.63,29.42,82.93,0
Sugarcane,138,38.43,27.36,77.71,1
Sugarcane,51,89.96,27.67,54.05,0
Sugarcane,64,25.82,29.04,83.9,1
Potato,90,16.85,19.86,85.22,1
Wheat,100,75.07,21.77,49.02,0
Cotton,36,11.14,34.43,53.07,1
Potato,106,81.81,16.41,62.66,0
Rice,84,62.67,20.26,87.84,0
Rice,7,17.35,33.93,71.09,1
Sugarcane,120,32.11,33.97,57.46,1
Wheat,147,36.24,16.96,76.29,0
Potato,33,54.49,18.52,69.02,0
Wheat,98,16.95,14.64,30.79,1
Maize,22,82.25,22.76,85.1,0
Sugarcane,86,34.7,28.49,72.24,1
Rice,63,52.27,34.21,76.37,1
Cotton,110,74.1,25.13,64.59,0
Sugarcane,58,73.81,39.14,90.19,0
Rice,44,55.79,25.13,79.95,1
Wheat,123,42.34,20.57,45.62,0
Cotton,41,59.1,35.94,65.37,0
Potato,104,54.22,30.1,49.2,0
Rice,109,87.02,28.33,75.96,0
Sugarcane,124,79.73,35.02,63.72,0
Rice,32,20.0,25.7,91.42,1
Sugarcane,119,20.41,25.39,81.74,1
Maize,59,23.79,25.16,62.33,1
Wheat,148,85.67,20.97,56.47,0
Sugarcane,9,79.62,39.04,73.51,0
Rice,108,49.04,29.54,57.6,1
Cotton,30,24.77,34.2,65.47,1
Sugarcane,34,39.58,38.08,66.78,1
Potato,17,81.52,22.02,67.26,0
Cotton,125,67.48,35.97,48.79,0
Potato,148,29.31,17.45,75.28,1
Cotton,47,35.95,35.14,46.83,1
Cotton,145,75.12,33.17,71.1,0
Wheat,134,67.01,15.17,61.5,0
Potato,142,83.49,9.14,75.97,0
Potato,84,11.53,17.97,66.83,1
Potato,83,92.69,22.7,76.35,0
Sugarcane,71,62.81,40.21,79.42,0
Rice,142,28.57,21.5,85.28,1
Sugarcane,78,73.17,32.14,78.99,0
Wheat,120,25.75,19.48,58.31,1
Potato,12,59.54,16.33,67.86,0
Rice,137,66.88,33.27,106.88,0
Cotton,76,49.48,28.06,51.15,0
Potato,21,63.66,28.2,74.92,0
Cotton,28,29.91,25.52,50.69,0
Wheat,1,32.86,24.53,57.85,0
Sugarcane,12,61.35,29.02,73.05,0
Wheat,93,50.2,17.19,82.78,0
Cotton,56,60.22,35.8,61.21,0
Rice,148,19.18,35.42,74.22,1
Potato,106,34.95,19.2,74.21,1
Wheat,17,19.68,20.52,38.38,1
Sugarcane,11,13.81,33.79,69.13,1
Cotton,19,44.94,31.34,65.09,0
Wheat,45,71.07,24.05,65.35,0
Cotton,82,31.82,35.38,65.92,0
Sugarcane,147,60.69,34.6,71.14,0
Rice,143,73.74,38.91,69.35,0
Rice,75,60.89,24.3,80.07,0
Cotton,3,71.54,30.29,52.55,0
Wheat,12,35.08,33.39,55.14,0
Sugarcane,62,57.48,36.33,61.34,0
Cotton,21,68.86,39.2,52.55,0
Sugarcane,122,60.17,27.19,56.71,0
Cotton,79,74.54,29.61,56.54,0
Maize,7,22.12,23.46,72.8,1
Sugarcane,146,64.14,27.19,67.91,0
Wheat,113,67.56,11.86,72.72,0
Cotton,65,18.95,24.43,60.98,1
Potato,107,42.98,18.71,83.49,0
Sugarcane,122,19.87,29.53,72.29,1
Cotton,18,80.27,29.46,64.48,0
Potato,68,93.31,33.16,49.44,1
Sugarcane,123,81.28,35.31,65.33,0
Maize,85,39.11,15.1,72.48,0
Sugarcane,141,63.23,17.35,67.14,0
Cotton,82,62.99,39.8,71.27,0
Sugarcane,8,13.35,43.22,54.97,1
Rice,117,60.93,27.03,59.02,0
Potato,139,56.69,20.81,63.55,0
Maize,12,92.42,25.09,71.54,0
Cotton,96,51.81,29.58,40.76,0
Potato,143,61.49,18.89,74.24,0
Sugarcane,82,47.69,37.59,86.95,0
Rice,48,94.67,23.08,89.63,0
Potato,67,48.11,31.67,69.42,0
Maize,22,68.46,29.76,76.01,0
Potato,21,40.49,16.87,76.12,0
Wheat,47,94.2,19.38,56.44,0
Sugarcane,141,74.04,33.49,81.82,0
Cotton,35,62.16,29.87,51.18,0
Cotton,102,36.02,40.55,67.85,0
Maize,45,91.18,15.53,67.13,0
Maize,124,70.1,16.96,57.37,0
Rice,136,34.86,27.65,73.02,1
Sugarcane,39,29.21,30.39,70.23,1
Sugarcane,19,65.06,14.9,71.84,0
Potato,52,64.15,7.38,85.51,0
Sugarcane,79,56.96,24.22,70.65,0
Maize,12,52.22,21.53,60.91,0
Rice,105,73.63,26.87,80.15,0
Potato,87,59.58,9.63,63.21,0
Sugarcane,139,80.27,30.92,59.47,0
Cotton,100,87.11,29.44,66.41,0
Cotton,145,68.4,17.81,58.66,0
Maize,23,31.61,24.16,66.99,1
Rice,17,67.47,41.21,75.9,0
Wheat,101,52.38,24.92,56.91,0
Maize,105,14.45,22.73,79.52,1
Maize,16,41.55,26.96,71.3,0
Cotton,109,74.09,29.51,55.66,0
Cotton,18,72.65,28.28,79.65,0
Sugarcane,13,14.94,30.2,59.98,1
Sugarcane,74,11.25,22.37,58.66,1
Cotton,142,45.16,17.19,58.09,0
Potato,116,10.84,22.69,67.08,1
Potato,65,36.51,23.58,74.68,0
Maize,27,58.91,24.04,58.08,0
Sugarcane,134,47.02,23.97,57.2,0
Cotton,57,41.6,30.82,60.51,0
Wheat,75,80.53,12.24,67.89,0
Rice,132,86.45,31.56,81.5,0
Sugarcane,79,15.08,34.25,87.73,1
Sugarcane,56,94.26,32.69,70.52,0
Wheat,17,29.16,18.12,56.82,1
Maize,45,33.48,25.11,68.78,1
Cotton,65,39.34,28.83,64.66,0
Wheat,26,22.52,14.55,58.44,1
Rice,15,40.11,33.27,81.85,1
Potato,46,46.79,12.88,64.83,0
Wheat,75,77.42,17.85,65.89,0
Cotton,99,52.35,32.73,58.87,0
Cotton,139,49.01,25.89,73.17,0
Rice,80,93.07,26.79,84.88,0
Cotton,94,64.45,25.22,64.72,0
Potato,93,52.41,23.09,65.43,0
Rice,104,82.08,27.65,82.66,0
Wheat,93,50.88,16.02,63.39,0
Rice,34,94.43,23.28,63.97,0
Rice,99,90.83,20.67,90.08,0
Cotton,93,57.95,36.89,47.55,0
Maize,109,92.82,20.98,72.46,0
Potato,98,67.76,18.18,52.88,0
Rice,149,53.92,25.97,89.58,1
Maize,40,44.08,28.31,70.39,0
Maize,116,27.38,20.7,54.7,1
Potato,68,35.1,19.46,77.84,0
Rice,40,14.05,34.5,87.45,1
Cotton,67,53.83,26.98,59.51,0
Sugarcane,69,43.31,38.35,94.34,0
Cotton,54,40.78,25.67,66.46,0
Sugarcane,61,47.19,27.03,60.34,0
Cotton,141,45.92,24.69,48.02,0
Rice,126,38.64,33.53,72.49,1
Wheat,16,16.67,29.01,63.83,1
Potato,9,32.85,18.38,90.5,1
Cotton,111,70.73,28.08,62.5,0
Wheat,51,41.39,25.41,69.96,0
Wheat,122,71.96,17.89,66.77,0
Sugarcane,73,39.35,32.2,77.79,1
Sugarcane,65,36.52,36.46,36.13,1
Cotton,146,11.37,28.0,63.0,1
Wheat,14,81.68,20.66,51.01,0
Potato,121,55.41,8.34,81.0,0
Potato,13,91.73,22.1,64.47,0
Cotton,2,84.07,35.3,66.17,0
Rice,114,80.79,28.15,81.43,0
Potato,53,36.08,26.25,52.35,1
Wheat,78,61.47,16.36,47.22,0
Wheat,19,67.59,20.82,59.59,0
Potato,147,76.75,22.12,65.82,0
Maize,62,54.09,23.85,55.76,0
Maize,71,32.46,24.58,50.5,1
Cotton,24,65.82,30.44,63.96,0
Sugarcane,20,35.27,30.99,61.87,1
Maize,53,11.28,30.95,75.14,1
Wheat,100,31.21,19.33,49.93,0
Rice,48,10.57,32.99,93.0,1
Sugarcane,28,63.34,33.11,68.37,0
Rice,129,28.74,33.79,94.59,1
Potato,145,52.33,15.83,79.21,0
Sugarcane,127,78.61,31.3,72.97,0
Rice,147,60.1,37.84,92.9,0
Cotton,39,26.94,31.8,65.68,0
Wheat,110,33.02,28.53,56.99,0
Rice,16,16.9,32.5,84.72,1
Sugarcane,131,62.43,34.35,78.87,0
Rice,73,27.53,27.02,90.74,1
Wheat,37,66.65,18.85,74.53,0
Rice,123,69.96,21.92,59.64,0
Sugarcane,79,15.44,27.25,78.6,1
Wheat,4,60.17,15.99,35.7,0
Cotton,129,74.98,38.75,49.82,0
Potato,85,23.64,23.95,70.9,1
Cotton,83,19.39,24.96,48.83,1
Maize,23,31.66,23.64,66.56,1
Sugarcane,55,28.37,32.81,76.06,1
Wheat,106,33.08,16.31,49.08,0
Potato,109,52.77,21.84,64.36,0
Wheat,76,82.99,18.05,75.91,0
Sugarcane,87,25.24,24.81,77.44,1
Wheat,104,83.35,27.31,61.61,0
Potato,33,39.34,27.86,61.7,0
Maize,138,63.94,20.14,67.09,0
Rice,47,43.24,26.32,73.02,1
Rice,137,45.34,36.71,56.69,1
Maize,98,45.02,26.64,74.24,0
Sugarcane,48,61.48,28.32,62.11,0
Maize,17,27.53,29.29,62.65,1
Wheat,103,45.64,19.77,52.35,0
Sugarcane,26,31.53,36.22,71.32,1
Wheat,108,38.36,18.81,74.3,0
Maize,15,49.64,24.08,58.02,0
Rice,128,27.3,34.24,57.53,1
Cotton,116,65.11,29.03,53.37,0
Cotton,123,13.64,26.25,59.06,1
Rice,62,41.83,27.74,78.7,1
Rice,130,66.24,28.99,79.93,0
Sugarcane,48,15.65,32.29,84.56,1
Sugarcane,62,78.26,24.28,70.57,0
Cotton,29,42.86,23.84,73.07,0
Maize,145,31.95,18.69,84.9,1
Maize,62,23.3,34.05,62.82,1
Rice,57,30.53,28.15,65.94,1
Cotton,139,25.97,31.11,55.21,0
Maize,23,66.06,21.71,73.55,0
Rice,61,37.58,25.91,73.9,1
Sugarcane,100,80.02,29.22,83.08,0
Cotton,101,73.57,27.95,54.93,0
Potato,70,45.3,24.9,71.06,0
Wheat,56,27.09,28.63,61.04,1
Sugarcane,146,81.81,32.35,54.64,0
Rice,20,86.76,42.25,68.24,0
Sugarcane,113,91.7,29.05,69.63,0
Sugarcane,35,11.34,24.84,81.13,1
Rice,99,89.77,21.24,64.72,0
Cotton,61,64.26,34.42,71.7,0
Wheat,20,58.41,18.43,69.58,0
Cotton,59,49.89,28.49,30.71,0
Maize,14,14.53,34.77,59.94,1
Maize,120,90.04,25.01,52.23,0
Wheat,83,73.56,18.22,72.78,0
Potato,93,90.64,20.85,63.49,0
Rice,43,48.55,39.53,75.37,1
Cotton,90,44.16,31.21,48.49,0
Cotton,26,72.95,30.97,51.64,0
Sugarcane,40,29.62,31.03,77.38,1
Potato,62,60.73,22.21,67.51,0
Rice,88,85.19,28.73,76.82,0
Wheat,119,62.61,18.23,51.36,0
Cotton,17,82.47,26.67,58.22,0
Maize,20,14.69,31.16,39.63,1
Wheat,40,19.73,22.72,47.82,1
Cotton,138,31.8,36.85,48.61,1
Sugarcane,26,78.77,27.94,60.73,0
Potato,130,80.49,24.26,82.51,0
Potato,10,52.97,21.75,57.46,0
Potato,87,16.99,10.57,63.56,1
Maize,9,26.21,28.15,44.61,1
Wheat,143,26.94,27.58,63.58,1
Maize,82,50.02,28.73,84.56,0
Cotton,71,19.95,28.48,62.42,1
Rice,89,53.68,30.21,93.45,1
Cotton,90,83.92,31.97,59.19,0
Sugarcane,120,25.75,25.46,62.85,1
Maize,96,88.81,25.34,69.45,0
Potato,32,77.81,16.41,65.19,0
Sugarcane,69,24.89,24.49,76.81,1
Maize,84,31.22,26.48,68.75,1
Sugarcane,81,22.92,19.56,64.15,1
Maize,72,88.26,21.72,57.67,0
Sugarcane,16,62.3,30.4,86.12,0
Sugarcane,96,41.94,28.92,88.53,0
Potato,149,13.86,13.91,74.04,1
Cotton,108,52.61,19.58,77.25,0
Wheat,44,12.12,12.23,56.99,1
Wheat,136,33.89,17.92,48.7,0
Potato,115,73.82,21.63,63.04,0
Sugarcane,85,80.98,29.01,76.33,0
Sugarcane,54,17.44,26.92,53.59,1
Sugarcane,115,34.97,30.6,65.99,1
Potato,147,26.35,24.37,52.58,1
Cotton,68,39.79,28.74,66.49,0
Maize,32,56.16,20.93,45.64,0
Cotton,99,22.09,34.25,55.46,1
Wheat,114,88.93,21.62,48.52,0
Potato,25,87.62,13.43,76.04,0
Sugarcane,27,14.73,25.26,87.47,1
Maize,84,74.38,19.78,54.37,0
Potato,89,72.03,20.73,73.66,0
Cotton,116,34.48,20.44,59.31,0
Potato,25,23.97,20.61,57.41,1
Cotton,47,11.29,25.44,61.88,1
Rice,40,43.96,32.33,85.06,1
Sugarcane,55,40.73,30.87,61.64,0
Rice,2,72.8,30.36,77.88,0
Cotton,90,77.11,31.96,75.91,0
Cotton,122,77.45,27.13,55.8,0
Wheat,76,54.5,14.62,62.21,0
Maize,149,73.34,22.56,69.2,0
Potato,90,23.26,17.8,77.91,1
Rice,110,25.53,31.15,69.19,1
Sugarcane,60,20.08,30.95,74.49,1
Maize,47,50.43,19.26,61.88,0
Maize,132,57.79,23.29,66.7,0
Rice,63,89.77,27.07,82.24,0
Cotton,122,80.86,32.13,71.97,0
Rice,50,19.0,24.65,62.13,1
Potato,112,28.44,22.33,49.95,1
Potato,132,45.63,12.43,70.72,0
Rice,45,81.1,29.75,73.61,0
Sugarcane,57,34.28,28.64,64.0,1
Sugarcane,60,47.73,31.51,77.53,0
Maize,108,42.22,24.07,68.1,0
Maize,96,33.32,24.28,67.03,1
Rice,106,10.54,37.54,73.08,1
Potato,35,90.47,26.73,62.76,0
Rice,3,94.8,29.11,66.36,0
Rice,73,25.4,23.53,85.72,1
Potato,25,23.62,18.5,55.41,1
Potato,58,38.95,17.7,57.97,0
Rice,11,80.56,29.4,82.74,0
Potato,64,33.61,18.06,53.61,1
Rice,90,90.47,26.54,90.45,0
Maize,76,40.95,24.4,65.16,0
Rice,27,58.12,27.2,83.82,1
Cotton,12,44.89,27.66,54.33,0
Cotton,8,89.08,29.45,51.03,0
Cotton,101,17.1,33.39,52.25,1
Cotton,125,47.58,24.81,43.69,0
Rice,106,27.73,32.64,77.39,1
Wheat,70,39.46,15.05,57.56,0
Potato,100,59.71,25.4,61.71,0
Potato,100,85.32,18.44,73.6,0
Rice,38,30.45,34.88,85.16,1
Cotton,50,43.74,32.41,53.04,0
Maize,68,33.0,29.46,83.3,1
Rice,95,49.75,23.43,97.67,1
Cotton,17,52.56,29.39,60.37,0
Wheat,139,57.28,15.24,53.23,0
Maize,106,83.57,22.73,73.95,0
Wheat,49,68.02,11.4,78.28,0
Wheat,96,29.23,14.75,67.57,1
Wheat,118,28.59,25.36,63.25,1
